newspaper,teaser,date,url
Augsburger Allgemeine,"Buchautor Torsten Körner spricht über Altbundeskanzlerin Angela Merkel, ihre prägende Kindheit im Osten, ihre Art der Problemlösung – und über die Raute.",31.12.2021,https://www.augsburger-allgemeine.de/politik/interview-autor-koerner-ueber-merkel-dieses-mass-an-selbststrenge-hat-mich-ueberrascht-id61401996.html
Die Zeit," Eine Bilanz ihrer Kanzlerschaft: Zehn Standpunkte aus Politik, Wissenschaft und Kultur ",24.09.2021,https://www.zeit.de/zeit-geschichte/2021/05/angela-merkel-bilanz-wissenschaftler-kuenstler-claudia-roth-dieter-nuhr
Die Zeit, Als Mensch des Bauchgefühls galt Angela Merkel nie. Lieber vertraute sie auf Zahlen. In diesem Sinne: eine Bilanz der Kanzlerin – in Ziffern ,08.12.2021,https://www.zeit.de/politik/deutschland/2021-12/angela-merkel-bilanz-bundeskanzlerin-amtszeit
FAZ,"Die Ampel-Koalition dürfte eher Kompromisse suchen, als große Reformschneisen zu schlagen. Die Art, wie Scholz regieren wird, kennen die Deutschen seit 16 Jahren.",01.11.2021,https://www.faz.net/aktuell/politik/bundestagswahl/ampel-koalition-sucht-kompromisse-statt-reformen-17611817.html
Rheinische Post,"Interview Neuss Hätten Sie gewusst, dass Angela Merkel mal in Diskotheken gearbeitet hat? Zum Abschied der Kanzlerin nach 16 Jahren im Amt 16 Fragen an einen ihrer langjährigen politischen Wegbegleiter: Hermann Gröhe (CDU) aus Neuss.",03.12.2021,https://rp-online.de//nrw/staedte/neuss/hermann-groehe-cdu-zum-ende-der-amtszeit-von-kanzlerin-angela-merkel_aid-64420941
Süddeutsche Zeitung,,16.07.2021,https://www.sueddeutsche.de/politik/bundesregierung-chaos-jahre-mit-trump-merkel-und-biden-beschwoeren-neuanfang-dpa.urn-newsml-dpa-com-20090101-210716-99-401806
Süddeutsche Zeitung,"Wer wird Deutschland demnächst regieren? Ein Blick auf die aktuellen Schätzungen des SZ-Wahlmodells zeigt: Selten war es so schwierig, das Ergebnis einer Bundestagswahl vorherzusagen. ",24.09.2021,https://www.sueddeutsche.de/politik/wahlprognose-bundestagswahl-1.5420527
Süddeutsche Zeitung,"Zum ersten Mal seit langem traten Angela Merkel, Armin Laschet und Markus Söder gemeinsam auf. Doch zum Leidwesen des Kanzlerkandidaten wurde daraus ein Wettbewerb darum, wer die beste Rede hält.",21.08.2021,https://www.sueddeutsche.de/meinung/bundestagswahl-armin-laschet-angela-merkel-markus-soeder-1.5388536
Thüringer Allgemeine,Berlin. Unsere Autorin hat Bundeskanzlerin Angela Merkel als Reporterin 15 Jahre lang begleitet. So blickt sie auf den Abschied der Kanzlerin.,04.12.2021,https://www.thueringer-allgemeine.de/politik/angela-merkel-bundeskanzlerin-erinnerung-abschied-id234008371.html
Thüringer Allgemeine,"Berlin. Bundeskanzlerin Angela Merkel tritt ab – nach 16 Jahren. Die größte Stärke lag in ihrer besonderen Persönlichkeit, meint Jörg Quoos.",03.12.2021,https://www.thueringer-allgemeine.de/politik/angela-merkel-bundeskanzlerin-abschied-kommentar-id234010781.html
taz,Ralph Bollmann zeichnet in seiner Biografie präzise das Leben Angela Merkels nach. Mit Wertungen hält er sich zurück – und räumt mit Legenden auf.,31.08.2021,https://taz.de/Biografie-ueber-Angela-Merkel/!5794128/
taz,"Viele sind sich einig: Der Einsatz des Westens war sinnlos. Nur: Zählt es nichts, dass eine Generation von Afghaninnen zur Schule und arbeiten gehen konnte?",20.08.2021,https://taz.de/Afghanistan-nach-Abzug-des-Westens/!5794791/
